FILENAME,URL,URLLength,Domain,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label,is_phishing,domain,registered_domain,ip_addresses,name_servers
521848.txt,https://www.southbankmosaics.com,31,www.southbankmosaics.com,24,0,com,100.0,1.0,0.5229071,0.061933179,3,1,0,0,0.0,18,0.581,0,0.0,0,0,0,1,0.032,1,558,9381,1,ข่าวสด ข่าววันนี้ ข่าวกีฬา ข่าวบันเทิง อัพเดทสดใหม่ทุกวัน &#8211; ข่าวสด ข่าวกีฬา ข่าวบันเทิง ข่าววันนี้ อัปเดตข่าวสารรวดเร็วทันใจ พร้อมรับชมสาระน่ารู้ต่างๆ ได้ฟรีตลอด 24ชั่วโมง,0.0,0.0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,34,20,28,119,0,124,1,0,www.southbankmosaics.com,southbankmosaics.com,['142.93.145.212'],"['ns2.namebrightdns.com', 'ns1.namebrightdns.com']"
31372.txt,https://www.uni-mainz.de,23,www.uni-mainz.de,16,0,de,100.0,0.666666667,0.0326503,0.050207214,2,1,0,0,0.0,9,0.391,0,0.0,0,0,0,2,0.087,1,618,9381,1,johannes gutenberg-universität mainz,55.55555556,55.55555556,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,50,9,8,39,0,217,1,0,www.uni-mainz.de,uni-mainz.de,['134.93.178.47'],"['b.ns14.net', 'ns-extern.zdv.Uni-Mainz.DE', 'd.ns14.net', 'c.ns14.net']"
597387.txt,https://www.voicefmradio.co.uk,29,www.voicefmradio.co.uk,22,0,uk,100.0,0.866666667,0.028555,0.06412872,2,2,0,0,0.0,15,0.517,0,0.0,0,0,0,2,0.069,1,467,682,1,voice fm southampton,46.66666667,46.66666667,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,10,2,7,42,2,5,1,0,www.voicefmradio.co.uk,voicefmradio.co.uk,"['216.137.52.128', '216.137.52.12', '216.137.52.39', '216.137.52.122']","['ns2.livedns.co.uk', 'ns1.livedns.co.uk', 'ns3.livedns.co.uk']"
554095.txt,https://www.sfnmjournal.com,26,www.sfnmjournal.com,19,0,com,100.0,1.0,0.5229071,0.057605756,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,6356,26824,1,home page: seminars in fetal and neonatal medicine ,0.0,0.0,0,1,1,0,0,0,1,12,0,1,1,1,0,0,1,1,1,3,27,15,22,1,31,1,0,www.sfnmjournal.com,sfnmjournal.com,"['162.159.140.114', '172.66.0.112']","['ns1.reedelsevier.com', 'ns2.reedelsevier.com', 'ns3.reedelsevier.com']"
151578.txt,https://www.rewildingargentina.org,33,www.rewildingargentina.org,26,0,org,100.0,1.0,0.0799628,0.059441389,3,1,0,0,0.0,20,0.606,0,0.0,0,0,0,1,0.03,1,6089,28404,1,fundación rewilding argentina,100.0,100.0,0,1,1,1,1,1,0,2,0,1,1,1,0,1,1,0,1,244,15,34,72,1,85,1,0,www.rewildingargentina.org,rewildingargentina.org,"['172.67.178.236', '104.21.31.174']","['lovisa.ns.cloudflare.com', 'hans.ns.cloudflare.com']"
23107.txt,https://www.globalreporting.org,30,www.globalreporting.org,23,0,org,100.0,1.0,0.0799628,0.060614474,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,1,1210,737,1,gri - home,0.0,0.0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,35,1,11,86,0,14,1,0,www.globalreporting.org,globalreporting.org,"['104.20.37.79', '172.66.159.113']","['george.ns.cloudflare.com', 'coco.ns.cloudflare.com']"
23034.txt,https://www.saffronart.com,25,www.saffronart.com,18,0,com,100.0,1.0,0.5229071,0.063549404,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,1024,984,1,0,0.0,0.0,1,0,1,1,1,0,2,4,0,1,0,1,0,0,0,0,1,32,4,14,44,2,17,1,0,www.saffronart.com,saffronart.com,"['172.67.68.10', '104.26.8.7', '104.26.9.7']","['romina.ns.cloudflare.com', 'damien.ns.cloudflare.com']"
696732.txt,https://www.nerdscandy.com,25,www.nerdscandy.com,18,0,com,100.0,1.0,0.5229071,0.0604856,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,514,399,1,nerds candy,100.0,100.0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,24,2,22,36,0,15,1,0,www.nerdscandy.com,nerdscandy.com,"['104.18.12.41', '104.18.13.41']","['amit.ns.cloudflare.com', 'fish.ns.cloudflare.com']"
739255.txt,https://www.hyderabadonline.in,29,www.hyderabadonline.in,22,0,in,100.0,1.0,0.0050842,0.056980442,2,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,2371,12913,1,"hyderabadonline - business listing in hyderabad, hyderabad news, the fort of golconda, travel guide",100.0,100.0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,71,4,9,40,1,317,1,0,www.hyderabadonline.in,hyderabadonline.in,"['104.21.73.182', '172.67.165.62']","['yahir.ns.cloudflare.com', 'chan.ns.cloudflare.com']"
14486.txt,https://www.aap.org,18,www.aap.org,11,0,org,100.0,1.0,0.0799628,0.070497453,3,1,0,0,0.0,5,0.278,0,0.0,0,0,0,1,0.056,1,2730,481,1,home,0.0,0.0,1,1,1,0,0,1,0,2,0,1,0,0,0,0,0,0,1,10,1,12,173,6,65,1,0,www.aap.org,aap.org,"['104.20.47.105', '172.66.148.195']","['ns1.p201.dns.oraclecloud.net', 'ns3.p201.dns.oraclecloud.net', 'ns2.p201.dns.oraclecloud.net', 'ns4.p201.dns.oraclecloud.net']"
